Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
0,Cc1ccc(NC(=O)Cn2nc(C)cc2C)cc1,0.8996719933528312,0.0499984339604163,1.7769479,0.143161920030781,0.21837806194320047
1,COc1cccc(CNC(=O)CCCO)c1OC,0.7630728761713771,0.3376147022572486,10.555619,0.5378196036179753,0.48605103081665374
2,OCCCCCCCNC(c1ccccc1)c1ccccc1,0.6405340039465347,0.4320738484585696,21.406427,0.7727024091647586,0.44675321116445177
3,OC(COCc1ccccc1)COCc1ccccc1,0.8028030407460318,0.9978101578825836,4.9540143,0.424238114191676,0.4656370667096833
4,O=C(C=Cc1ccc(CNCCCCO)cc1)NO,0.2449055511618047,0.9538557494814024,13.009622,0.6208780999331706,0.4900045921257
5,CCN(CC)S(=O)(=O)c1ccc(N)cc1,0.7899749939204442,0.9991972268149028,1.5183924,0.4945001832847785,0.4894176714591071
6,COC(=O)CCCCCCCCCCCCCO,0.4031915960844184,0.9997688021822582,20.960379,0.0925073460227108,0.2675110077965999
7,NNC(=O)NCCCCC1CCC2C(C1)C1C3C(O)CC3C21,0.2693023847270062,0.0683610451516628,26.00318,0.0945233680275922,0.08485989863695975
8,O=C(C=Cc1ccc(O)cc1)Nc1cccc(F)c1,0.8295331241602366,0.16775872470721,3.7348557,0.0570253784624467,0.2922790402824713
9,O=C(O)c1cc(Br)cc(Cc2ccccc2)c1O,0.9129545903527984,0.8201261492390874,-2.3119318,0.9305718868194076,0.8351146624090063
10,Cc1cccc(Cc2ccccc2)c1OCCCCCCO,0.689813252336535,0.8363190939693756,10.930749,0.6149969097677799,0.6479372807830376
11,Cc1ccc(C(=O)NCC(=O)NCCCO)cc1,0.632086702033522,0.3331782673216584,-4.351619,0.0940665414971613,0.45569076560492505
12,CCCCCCC(=O)NO,0.3493519970495408,0.999797665158842,17.292067,0.0027655671244234,0.20082991900832897
13,CCCCSc1nnc(-c2ccc(C)cc2)o1,0.5932248872773542,0.0696201952660325,-2.8622942,0.0244264001973995,0.20003834001670956
14,O=C(O)CCCC(=O)c1ccccc1CO,0.7169986973743094,0.9987828138247206,9.041728,0.7966171956777255,0.7673504710556757
15,Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1O,0.8997634813628032,0.3487555740860251,3.9156008,0.1458426868272798,0.5651728947716093
16,CCOC(=O)C1CCN(C(=O)CCCCCO)CC1,0.5603119985403086,0.7950923751753896,-5.574983,0.2283700598670273,0.5525457311936269
17,O=C(O)Cn1c(=O)oc2ccc(-c3ccccc3)cc21,0.7917310596079695,0.0506048788147625,-6.5134354,0.9520655285780628,0.7877018484226566
18,CCCCCCOCCC,0.4990193328978258,0.9999029707290454,10.14042,1.3787438157342652e-05,0.09022977081082252
19,Nc1cc(-c2ccccc2)ccc1CC(=O)O,0.7919286063696154,0.998961912148,6.0919857,0.9264074054674396,0.8301526741501399
20,Cc1cc(C)cc(Oc2ccccc2C=O)c1,0.7415821868777996,0.7207361232430549,11.455616,0.0992650651106884,0.179497032199078
21,OCCCCCCc1ccc2ccccc2c1O,0.7615388536822183,0.7146461155375614,13.399005,0.4482244590598565,0.5761279526513831
22,O=S(=O)(O)c1cccc2ccc(CCCCO)cc12,0.6512044242655555,0.3384690745514924,12.4159355,0.5434631869997574,0.6732806440432529
23,CCC(CC)NC(=O)Nc1ccc(F)cc1F,0.8354378887007979,0.138330883248986,-3.2327013,0.1729109599345824,0.4919949737373317
24,O=C(CCCCCCCO)CC(=O)Nc1ccccc1O,0.3514458663960615,0.0944483006170565,17.812096,0.518570950980101,0.6108920802644926
25,OCCCCCCCOc1ccccc1C1CCCCC1,0.6443797658199326,0.6388640256442212,13.083377,0.4721154422709316,0.4919614803494925
26,Cc1nc(C(=O)O)c2ccccc2n1,0.738370538531861,0.9868183525826724,-5.976246,0.1387581530921877,0.32800015463782806
27,CCNCCCCC1CCC2C(C1)C1C3C(O)CC3C21,0.7314240368823619,0.02161608421843,28.837086,0.1972709861062667,0.10487591671193744
28,CC(=O)NNC(=S)NC(=O)c1ccccc1,0.4864700914055629,0.9881568703843892,16.281847,0.7188203474537427,0.6232982412815774
29,CCCCCCCCCOC(=O)c1ccc(OC)c(O)c1,0.515868935971442,0.94609933070359,0.06428945,0.6324453065541454,0.5284302614921279
30,CCN1CCC(NCC2CCCCC2)CC1,0.7895409725922485,0.0355522337775114,14.677421,0.0837655813224147,0.24025322085359466
31,OCCCCCOc1ccccc1C=Cc1ccc(Cl)cc1,0.5451071511883641,0.7590832404738557,8.879643,0.3864903086610196,0.5655148244294377
32,Cc1cccc(C(=O)OO)c1,0.4909930885003776,0.9995137990996192,14.857635,0.0155345851082891,0.20020603918702468
