kept_features
AATS0p
AATS1i
AATS1s
AATS2i
AATS2s
AATS3d
AATS3i
AATS3m
AATS3se
AATS4dv
AATS4i
AATS4s
AATSC0i
AATSC0m
AATSC1Z
AATSC1i
AATSC1pe
AATSC2p
AATSC2s
AATSC3Z
AATSC3i
AATSC3s
AATSC3se
AATSC3v
AATSC4Z
AATSC4i
AATSC4s
AATSC4v
AETA_alpha
AETA_beta_ns_d
AETA_beta_s
AETA_eta_F
AETA_eta_FL
ALERTS
ALOGP
AMES
AMID_C
AMID_N
AMID_O
AROM
ATS0m
ATS5se
ATSC0i
ATSC0s
ATSC1d
ATSC1dv
ATSC1p
ATSC1s
ATSC1se
ATSC2are
ATSC2d
ATSC2dv
ATSC2i
ATSC2v
ATSC3d
ATSC3dv
ATSC3p
ATSC3pe
ATSC4Z
ATSC4d
ATSC4dv
ATSC4p
ATSC4pe
ATSC5Z
ATSC5d
ATSC5dv
ATSC5i
ATSC5pe
ATSC5v
ATSC6Z
ATSC6are
ATSC6d
ATSC6dv
ATSC6i
ATSC6v
ATSC7Z
ATSC7d
ATSC7dv
ATSC7i
ATSC7p
ATSC7se
ATSC8Z
ATSC8d
ATSC8dv
ATSC8i
ATSC8p
ATSC8s
AXp-3dv
BBB_Martins
BCUTare-1l
BCUTd-1h
BCUTd-1l
BCUTdv-1h
BCUTdv-1l
BCUTi-1h
BCUTi-1l
BCUTm-1h
BCUTm-1l
BCUTs-1h
BCUTv-1l
BIC0
BIC1
BIC2
BalabanJ
Bioavailability_Ma
C1SP2
C2SP3
C3SP2
C3SP3
CIC4
CYP1A2_Veith
CYP2C9_Substrate_CarbonMangels
CYP2C9_Veith
CYP2D6_Substrate_CarbonMangels
CYP2D6_Veith
CYP3A4_Substrate_CarbonMangels
CYP3A4_Veith
Caco2_Wang
Carcinogens_Lagunin
Clearance_Hepatocyte_AZ
Clearance_Microsome_AZ
ClinTox
DILI
EState_VSA1
EState_VSA2
EState_VSA3
EState_VSA4
EState_VSA5
EState_VSA6
EState_VSA7
EState_VSA8
EState_VSA9
ETA_dBeta
ETA_dEpsilon_D
ETA_dPsi_A
ETA_epsilon_3
ETA_epsilon_5
ETA_eta_BR
ETA_shape_x
ETA_shape_y
GATS1Z
GATS1d
GATS1dv
GATS1i
GATS1p
GATS1s
GATS1se
GATS2d
GATS2dv
GATS2i
GATS2m
GATS2s
GATS2se
GATS2v
GATS3d
GATS3dv
GATS3i
GATS3pe
GATS3s
GATS4Z
GATS4d
GATS4i
GATS4p
GATS4se
GGI9
GhoseFilter
HBA
HBD
HIA_Hou
Half_Life_Obach
HydrationFreeEnergy_FreeSolv
IC0
IC1
JGI10
JGI2
JGI3
JGI4
JGI5
JGI6
JGI7
JGI8
JGI9
JGT10
LD50_Zhu
Lipophilicity_AstraZeneca
MATS1d
MATS1dv
MATS1s
MATS1v
MATS2m
MATS2se
MATS3d
MATS3m
MATS3s
MATS4d
MATS4dv
MATS4se
MIC5
NR-AR
NR-AR-LBD
NR-AhR
NR-Aromatase
NR-ER
NR-ER-LBD
NR-PPAR-gamma
NaaN
NdO
NdssC
NsOH
NssO
NssssC
PAMPA_NCATS
PEOE_VSA1
PEOE_VSA10
PEOE_VSA11
PEOE_VSA12
PEOE_VSA13
PEOE_VSA2
PEOE_VSA3
PEOE_VSA4
PEOE_VSA6
PEOE_VSA7
PEOE_VSA8
PEOE_VSA9
PetitjeanIndex
Pgp_Broccatelli
ROTB
Radius
RotRatio
SM1_Dzi
SM1_Dzm
SMR_VSA3
SMR_VSA4
SMR_VSA6
SMR_VSA9
SR-ARE
SR-ATAD5
SR-HSE
SR-MMP
SR-p53
SRW09
SaasC
SdssC
Skin_Reaction
SlogP_VSA1
SlogP_VSA10
SlogP_VSA2
SlogP_VSA3
SlogP_VSA4
SlogP_VSA5
SlogP_VSA8
SpDiam_A
SpMAD_A
SsCH3
SssCH2
SssNH
SsssCH
SsssN
SssssC
TMPC10
TSRW10
VDss_Lombardo
VE1_A
VR2_A
VSA_EState1
VSA_EState2
VSA_EState3
VSA_EState4
VSA_EState5
VSA_EState6
VSA_EState7
VSA_EState8
VSA_EState9
Xc-4dv
Xc-6dv
Xch-5d
Xch-7dv
Xpc-6dv
ZMIC1
ZMIC4
fMF
hERG
n5ARing
n5HRing
n5aRing
n6AHRing
n6ARing
n6HRing
n6Ring
nAHRing
nARing
nBase
nFARing
nFHRing
nHRing
nO
piPC8
stereo_centers
