threshold,accuracy_mean,accuracy_std
0.99,0.7344280118448407,0.015611610834550604
0.98,0.7320646811290159,0.01594626248461899
0.97,0.7332421493526831,0.010423133113494392
0.96,0.7301310210206229,0.013816413101160665
0.95,0.7266836459181045,0.01355262813087438
0.94,0.726071326942473,0.0148086512581876
0.9299999999999999,0.7288076105415924,0.014530014064415866
0.9199999999999999,0.7232905642002075,0.014052878524942724
0.91,0.725324061816107,0.01759460184671128
0.9,0.722350836464166,0.014280851272978581
0.89,0.7211161786397013,0.01464464112654891
0.88,0.7169587164003142,0.011070836143265516
0.87,0.7191316538527321,0.01364488880248579
0.86,0.7190866422197169,0.012710042897589166
0.85,0.7157818694148281,0.01162452539658816
0.84,0.7179509344196429,0.009563670731958972
0.83,0.7184262378982708,0.011530726415351227
0.82,0.7161569803927034,0.010464259620564253
0.81,0.7122367261510721,0.007132745164786975
0.8,0.7097400748892242,0.01242368218157228
0.79,0.7101179933349641,0.008762986934538747
0.78,0.7127582231258688,0.013273187273425626
0.77,0.7124323512218584,0.00969780249925755
0.76,0.7065674407672053,0.009628000348241225
0.75,0.7069490541639254,0.009645814462139704
0.74,0.7077549288640741,0.010616721774663511
0.73,0.7071829222039476,0.012300531663325627
0.72,0.7100204026703499,0.013510605444694734
0.71,0.7036514937643736,0.016311838778308812
0.7,0.7061927735308878,0.012922513707027985
0.69,0.7062379626605264,0.011296414828133296
0.6799999999999999,0.7050118766011753,0.008189030920912478
0.6699999999999999,0.7054828638906423,0.004587520529992317
0.6599999999999999,0.7006660016963391,0.008498989814636034
0.6499999999999999,0.7007603411515309,0.010523317685435045
0.6399999999999999,0.6997207759079831,0.009461617338929453
0.63,0.7014576290824366,0.00829603332623556
0.62,0.7007497000401482,0.00828618844573809
0.61,0.7011372552307404,0.006763562779589702
0.6,0.7021725930334389,0.00668827351215161
0.59,0.698020628846366,0.010365112154683026
0.58,0.6975006687279689,0.009620165832231306
0.5700000000000001,0.7018500610871623,0.011922128822764765
0.56,0.6969392144309137,0.010309244470645353
0.55,0.6998168297161976,0.005195075332900542
0.54,0.6990147387153406,0.011862555367844788
0.53,0.6975078811333061,0.009894884695675394
0.52,0.6956174295565942,0.010689043560385594
0.51,0.693629209818645,0.00967847694569883
0.5,0.6947628482724498,0.008584688500628032
0.49,0.6928777172514293,0.011256890607989815
0.48,0.6966041495236086,0.009926674246043972
0.47,0.6966041495236086,0.009926674246043972
0.45999999999999996,0.6838708253974405,0.010712288316529981
0.44999999999999996,0.6811311130922755,0.010544643606530062
0.43999999999999995,0.6841460988678094,0.008530186283153857
0.42999999999999994,0.6812704641804828,0.0063245914913625115
0.41999999999999993,0.6837168720019356,0.010408842487470754
0.41000000000000003,0.6828692368781939,0.011340762689405835
0.4,0.676017517708215,0.01159271073923737
0.39,0.6754041056177418,0.012681608311621868
0.38,0.67715115616202,0.014450532240343105
0.37,0.6766314622885576,0.017400142991198863
0.36,0.6797042589030701,0.014743474025172525
0.35,0.6694672029104008,0.010614276441108671
0.33999999999999997,0.6697876655104084,0.00979108002870343
0.32999999999999996,0.6647856418600785,0.008849558949621406
0.31999999999999995,0.6638511459314167,0.010195172633247119
0.30999999999999994,0.6652105525367912,0.012721498556437219
0.29999999999999993,0.6636571464653416,0.01272595689268872
0.2899999999999999,0.6598329460319251,0.01380486333726138
0.28,0.6600736714840384,0.01260806127054642
0.27,0.6600736714840384,0.01260806127054642
0.26,0.6599337879059617,0.014442569634792506
0.25,0.6605914735078547,0.012765273317778434
0.24,0.6605914735078547,0.012765273317778434
0.22999999999999998,0.6625307204168738,0.00985845611167473
0.21999999999999997,0.6647887155728778,0.009290260857859323
0.20999999999999996,0.6547824820425344,0.009275423941703663
0.19999999999999996,0.6491687606547542,0.00859037450090673
0.18999999999999995,0.645674598952989,0.010278958088386822
0.17999999999999994,0.6502629136629612,0.011937048569683195
0.16999999999999993,0.6485147981389442,0.007803815700324974
0.15999999999999992,0.6454032260653262,0.010772191510844917
0.15000000000000002,0.6277791503553879,0.004485585273368616
0.14,0.6094633129019614,0.0057498326960391186
0.13,0.6036801254802937,0.010572352146036846
0.12,0.6125205081297797,0.014757252616222764
0.10999999999999999,0.6040068242542111,0.016742951424621396
0.09999999999999998,0.5971608693814813,0.017832680812104235
0.08999999999999997,0.5867725787128603,0.010585175256814816
0.07999999999999996,0.5867725787128603,0.010585175256814816
0.06999999999999995,0.5935251097486168,0.011970317335893458
0.05999999999999994,0.5861833407183259,0.016046601438538435
0.04999999999999993,0.5861833407183259,0.016046601438538435
0.039999999999999925,0.5302563770665751,0.011200021785251769
0.030000000000000027,0.5302563770665751,0.011200021785251769
0.020000000000000018,0.5302563770665751,0.011200021785251769
0.01,0.5742066692127991,0.019170701485049946
