threshold,accuracy_mean,accuracy_std
0.99,0.8912703341995296,0.004911582887214113
0.98,0.8904993241763994,0.005145373506355657
0.97,0.8912702152165016,0.005420553558414652
0.96,0.8911161321949036,0.006067612017996738
0.95,0.8904992051933712,0.006676353713812192
0.94,0.8911163701609602,0.005843492666930902
0.9299999999999999,0.890807490219595,0.006286784641832175
0.9199999999999999,0.8906536451640538,0.005175525202093648
0.91,0.8909618112072494,0.0055624680699062285
0.9,0.890037075111606,0.003977666378970788
0.89,0.888803102125513,0.0058004250488679415
0.88,0.8877233311440456,0.0032667282697315314
0.87,0.8895739931656148,0.005061033558264324
0.86,0.8886489001208867,0.004868295189784254
0.85,0.8877234501270739,0.00415956706160163
0.84,0.8866437981286349,0.0035578658452825344
0.83,0.8894203860761302,0.004316103464147406
0.82,0.8883409720437477,0.0032708025881493094
0.81,0.8861813110977849,0.0014342357747765017
0.8,0.8881862941070086,0.0034135812768208863
0.79,0.8858724311564199,0.0032883243234337143
0.78,0.8869523211209154,0.0038632170384287684
0.77,0.8871064041425131,0.004303982283023122
0.76,0.884330292127131,0.003881474326993145
0.75,0.88494745709472,0.0024623096114942864
0.74,0.8857181101687654,0.005251302606280771
0.73,0.8869520831548587,0.004600258989275094
0.72,0.8867977621672045,0.003988284591606297
0.71,0.8851013021502613,0.004264397738948943
0.7,0.8851011831672331,0.0038888199774018612
0.69,0.8858724311564199,0.003631928231553494
0.6799999999999999,0.8858725501394481,0.002200012871982819
0.6699999999999999,0.884792779157981,0.0034187058399036884
0.6599999999999999,0.8854098251425417,0.0030061192422506885
0.6499999999999999,0.8826337131271595,0.0037412089511866305
0.6399999999999999,0.883867805096281,0.002222312497856577
0.63,0.8838679240793093,0.002048742654079599
0.62,0.8834054370484594,0.0019052822718339045
0.61,0.8846388151194112,0.0029616012958670955
0.6,0.8823256660669921,0.0018665958118524902
0.59,0.8827881530978422,0.0027256399423999348
0.58,0.8840218881178789,0.005042016949371333
0.5700000000000001,0.8843300541610745,0.003328896481793789
0.56,0.8815542990947771,0.003836336522168129
0.55,0.8837133651255986,0.0049916190431383125
0.54,0.882479273156477,0.0038485268237095603
0.53,0.8823253091179073,0.0034485807082244068
0.52,0.8818624651379727,0.005972041384536711
0.51,0.882016786125627,0.0028219572715964722
0.5,0.882325190134879,0.005000019791618859
0.49,0.8829416412042986,0.005261395047016843
0.48,0.8800119220994317,0.0032719598010834366
0.47,0.8800119220994317,0.0032719598010834366
0.45999999999999996,0.8786238660917407,0.004828601198936358
0.44999999999999996,0.8792411500423579,0.004843374920020098
0.43999999999999995,0.8787779491133385,0.004924967973139388
0.42999999999999994,0.876156753000752,0.003500488165275142
0.41999999999999993,0.8763105980562932,0.004277079227943931
0.41000000000000003,0.8761560391025824,0.0032086702431447893
0.4,0.8739966161226762,0.003503126833130626
0.39,0.8744587462044414,0.005852665324167342
0.38,0.876463729213665,0.00536332871189447
0.37,0.8760015991318998,0.004424819869125752
0.36,0.8767726091550301,0.0046381154794531065
0.35,0.8753845531473392,0.004566794209413069
0.33999999999999997,0.873996497139648,0.004796361663295581
0.32999999999999996,0.8723002750887613,0.005307247438458636
0.31999999999999995,0.8713748250949485,0.0059397578732539235
0.30999999999999994,0.8719915141304245,0.006899959419810267
0.29999999999999993,0.8706034581227333,0.006295219028642644
0.2899999999999999,0.8710664210856963,0.0066917304996401365
0.28,0.8698329240317161,0.006282057488812642
0.27,0.8698329240317161,0.006282057488812642
0.26,0.868599070028651,0.005413092975501604
0.25,0.8690616760425293,0.00523173233060101
0.24,0.8690616760425293,0.00523173233060101
0.22999999999999998,0.8704503269653616,0.005871973492683601
0.21999999999999997,0.8709128139962117,0.005359832852033685
0.20999999999999996,0.8690617950255575,0.0026695702539108147
0.19999999999999996,0.865360470982419,0.003086911571575872
0.18999999999999995,0.862276549872926,0.005305735430429597
0.17999999999999994,0.8624303949284673,0.006995911251459923
0.16999999999999993,0.8632018808837107,0.008092553721871813
0.15999999999999992,0.8613518137772829,0.007371104403665444
0.15000000000000002,0.8582674167356767,0.005437629678765423
0.14,0.8485510246818395,0.003703106661065886
0.13,0.8482419067744178,0.004503336450610752
0.12,0.8462369237651941,0.004691087836886323
0.10999999999999999,0.8426884929133708,0.0072106898774601
0.09999999999999998,0.8426882549473144,0.007015955855493381
0.08999999999999997,0.8377540287653369,0.004172164586790561
0.07999999999999996,0.8377540287653369,0.004172164586790561
0.06999999999999995,0.8392964057606822,0.004051550348781355
0.05999999999999994,0.8234109816575763,0.008008594563201276
0.04999999999999993,0.8234109816575763,0.008008594563201276
0.039999999999999925,0.7947245304929704,0.009543932594881484
0.030000000000000027,0.7947245304929704,0.009543932594881484
0.020000000000000018,0.7947245304929704,0.009543932594881484
0.01,0.7500009518642261,0.010587563964806377
