kept_features
AATS0s
AATS1i
AATS1m
AATS1p
AATS1s
AATS2dv
AATS2i
AATS3i
AATS4i
AATS4m
AATS4v
AATSC0i
AATSC0m
AATSC1d
AATSC1dv
AATSC1p
AATSC1s
AATSC2Z
AATSC2d
AATSC3m
AATSC3s
AATSC3v
AATSC4d
AATSC4m
AATSC4se
AETA_beta_ns_d
AETA_beta_s
AETA_eta_BR
AETA_eta_FL
ALERTS
ALOGP
AMES
AMID_C
AMID_N
AMID_O
ATS0m
ATS4i
ATSC1dv
ATSC1i
ATSC1m
ATSC1se
ATSC1v
ATSC2dv
ATSC2i
ATSC2se
ATSC2v
ATSC3d
ATSC3dv
ATSC3p
ATSC3se
ATSC4dv
ATSC4i
ATSC4s
ATSC4v
ATSC5d
ATSC5dv
ATSC5i
ATSC5m
ATSC5s
ATSC5v
ATSC6d
ATSC6dv
ATSC6i
ATSC6m
ATSC6s
ATSC6v
ATSC7d
ATSC7dv
ATSC7i
ATSC7m
ATSC7s
ATSC7v
ATSC8d
ATSC8dv
ATSC8i
ATSC8m
ATSC8s
ATSC8v
AXp-2dv
BBB_Martins
BCUTZ-1h
BCUTare-1l
BCUTd-1h
BCUTd-1l
BCUTdv-1l
BCUTi-1l
BCUTm-1l
BCUTs-1h
BCUTv-1l
BIC2
Bioavailability_Ma
C1SP2
C1SP3
C2SP3
C3SP2
C3SP3
CIC5
CYP1A2_Veith
CYP2C9_Substrate_CarbonMangels
CYP2C9_Veith
CYP2D6_Substrate_CarbonMangels
CYP2D6_Veith
CYP3A4_Substrate_CarbonMangels
CYP3A4_Veith
Caco2_Wang
Carcinogens_Lagunin
Clearance_Hepatocyte_AZ
Clearance_Microsome_AZ
ClinTox
DILI
EState_VSA1
EState_VSA2
EState_VSA3
EState_VSA4
EState_VSA5
EState_VSA6
EState_VSA7
EState_VSA8
EState_VSA9
ETA_dAlpha_B
ETA_dBeta
ETA_epsilon_5
ETA_eta_B
ETA_shape_y
GATS1Z
GATS1d
GATS1dv
GATS1i
GATS1s
GATS2d
GATS2dv
GATS2i
GATS2m
GATS2s
GATS2v
GATS3Z
GATS3d
GATS3dv
GATS3p
GATS3s
GATS3se
GATS4d
GATS4i
GATS4s
GGI10
GhoseFilter
HBA
HBD
HIA_Hou
Half_Life_Obach
HydrationFreeEnergy_FreeSolv
IC1
JGI10
JGI2
JGI3
JGI4
JGI5
JGI6
JGI7
JGI8
JGI9
LD50_Zhu
MATS1are
MATS1s
MATS2s
MATS3d
MATS3i
MATS3pe
MATS4m
MATS4p
MATS4s
MPC8
NR-AR
NR-AR-LBD
NR-AhR
NR-Aromatase
NR-ER
NR-ER-LBD
NR-PPAR-gamma
NaasC
PAMPA_NCATS
PEOE_VSA1
PEOE_VSA10
PEOE_VSA11
PEOE_VSA12
PEOE_VSA13
PEOE_VSA2
PEOE_VSA3
PEOE_VSA4
PEOE_VSA6
PEOE_VSA7
PEOE_VSA8
PEOE_VSA9
PPBR_AZ
PetitjeanIndex
Pgp_Broccatelli
Radius
RotRatio
SIC0
SIC1
SM1_Dzi
SM1_Dzm
SMR_VSA3
SMR_VSA4
SMR_VSA6
SMR_VSA9
SR-ARE
SR-ATAD5
SR-HSE
SR-p53
SRW09
SaaN
SaasC
SdssC
Skin_Reaction
SlogP_VSA1
SlogP_VSA10
SlogP_VSA2
SlogP_VSA3
SlogP_VSA4
SlogP_VSA5
SlogP_VSA8
SpDiam_A
SpMAD_A
SsCH3
SssCH2
SssNH
SssO
SsssCH
SsssN
SssssC
VDss_Lombardo
VE1_A
VR1_A
VSA_EState1
VSA_EState2
VSA_EState3
VSA_EState4
VSA_EState5
VSA_EState6
VSA_EState7
VSA_EState9
Xc-4dv
Xc-6d
Xch-6dv
Xpc-6dv
ZMIC5
fMF
n5ARing
n5HRing
n5aRing
n6AHRing
n6HRing
n6Ring
nARing
nBase
nBondsD
nFARing
nFHRing
nHRing
nO
nRot
piPC8
stereo_centers
