iter	Logloss
0	0.6867757962
1	0.6816393745
2	0.6758043253
3	0.6713894998
4	0.666583226
5	0.6616822154
6	0.6574894716
7	0.6529022673
8	0.647403466
9	0.6434487692
10	0.6395523603
11	0.6348030943
12	0.6301940885
13	0.6259683977
14	0.6212114879
15	0.6166434117
16	0.6114507729
17	0.6066611421
18	0.6012823056
19	0.5971548158
20	0.592097015
21	0.5889157636
22	0.5851771239
23	0.5817211885
24	0.5780275827
25	0.5743402274
26	0.5698741175
27	0.565829353
28	0.5614008215
29	0.5576375563
30	0.5549645174
31	0.5518478421
32	0.548578368
33	0.5446675002
34	0.5417299814
35	0.5395058504
36	0.5369270588
37	0.5338566601
38	0.5302051511
39	0.5264111981
40	0.5234032669
41	0.5201487413
42	0.5175852748
43	0.5150668422
44	0.5122410797
45	0.508237546
46	0.5057515332
47	0.5031438236
48	0.5005741442
49	0.4981729277
50	0.4953298068
51	0.4928123532
52	0.4904939372
53	0.4874672168
54	0.4848163559
55	0.4815608514
56	0.4793757296
57	0.4760633679
58	0.4737786144
59	0.4710801216
60	0.4692338835
61	0.4670398755
62	0.4646295091
63	0.4620417935
64	0.4594153323
65	0.4572643625
66	0.4544395038
67	0.4518177869
68	0.4503872085
69	0.4475743989
70	0.4459842439
71	0.4449166098
72	0.4430707859
73	0.4413434583
74	0.4396344304
75	0.4370105673
76	0.4343487869
77	0.4330384744
78	0.4310454997
79	0.4291545666
80	0.4270130479
81	0.424699414
82	0.4229347339
83	0.4211069838
84	0.419175347
85	0.4178049768
86	0.4160067096
87	0.4143937364
88	0.4128025647
89	0.4110242163
90	0.4091704851
91	0.4070210968
92	0.405445702
93	0.4035319508
94	0.4020135638
95	0.4000740574
96	0.3986399018
97	0.3972871159
98	0.395993823
99	0.3943165749
100	0.3932541746
101	0.3917762277
102	0.3898466243
103	0.3872305178
104	0.3855288701
105	0.3839518562
106	0.3827766454
107	0.3811172075
108	0.3792378341
109	0.3772007669
110	0.3756606913
111	0.3742247284
112	0.3729510153
113	0.3715747712
114	0.3701519871
115	0.3689699986
116	0.3673899347
117	0.3660225769
118	0.364684363
119	0.3632755107
120	0.3618178216
121	0.3604828836
122	0.3588731863
123	0.3577804371
124	0.3567523771
125	0.355419849
126	0.3537199333
127	0.3525228833
128	0.3511115082
129	0.3496911716
130	0.3482972678
131	0.3473424443
132	0.3458089958
133	0.3443315385
134	0.3435630257
135	0.3422465757
136	0.3412889658
137	0.3402418906
138	0.3387765201
139	0.3374549115
140	0.3362182121
141	0.3345721413
142	0.3330847434
143	0.3321307859
144	0.3312224271
145	0.3303632065
146	0.3291995177
147	0.3282478947
148	0.3271066852
149	0.3257313448
150	0.3243586025
151	0.3233245931
152	0.322239563
153	0.3211400739
154	0.3203402332
155	0.3192792638
156	0.3184021952
157	0.317612747
158	0.3166775034
159	0.3157363482
160	0.3141787637
161	0.313446662
162	0.3121460643
163	0.3108778487
164	0.3096711029
165	0.3090218206
166	0.3081952458
167	0.306696947
168	0.3061565218
169	0.305375282
170	0.3047270729
171	0.303961836
172	0.3031754753
173	0.301830672
174	0.3008748507
175	0.3001427679
176	0.2994146764
177	0.2986339826
178	0.2975407628
179	0.2963444471
180	0.2956169768
181	0.2943145529
182	0.2936222136
183	0.2926319014
184	0.2913483231
185	0.2905130691
186	0.2897023088
187	0.2887092103
188	0.2880611518
189	0.287184874
190	0.2864154198
191	0.2856027392
192	0.2847617806
193	0.2839888435
194	0.2830524515
195	0.2824202264
196	0.2815065396
197	0.2805639348
198	0.2796790531
199	0.2787074737
200	0.2775426365
201	0.2764146434
202	0.2750803644
