Rference number,URL address,initial_SMILES,optimized_SMILES,initial_QED,optimized_QED,initial_MolSkill,optimized_MolSkill,initial_DBPP,optimized_DBPP,initial_HADES,optimied_HADES,optimized_HADES_scs,initial_HADES_scs
30,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01267,Cc1ccc(cc1)C2=C(C#N)C(=O)NC3=C2CCCC3,CCC[C@@H]1CNCC2=C1NC(=O)C(=C2N3CCC4(CC3)CC4)C#N,0.8600344152317846,0.8954718799386419,1.0136265,-8.554662,0.2604228394221818,0.003677948626151,0.1229753358516686,0.0149036398846919,0.0578485907658582,0.23875904280185195
31,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01860?articleRef=test,[nH]1nc(c2c1ccnc2-c3ccc(cc3)OC)C4CC4,FC(F)Oc1ccc(cc1)N4c2c([nH]nc2C3CC3)C=C(C4=O)c6cc5nn(cc5cc6)C,0.7880199440642682,0.4219922657423132,-7.0623446,11.86763,0.0010299333875726,0.0417156437508785,0.0739010892314728,0.0867150639015969,0.07353489006781992,0.08924304025053649
32,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00857,OC1=C(O)C=C2C(C[C@H](N(C(C=C)=O)[C@H]2CC3=CC=C(O)C(O)=C3)C(OC)=O)=C1,OC1=C(O)C=C2C(C[C@H](N(C(C3=CC=CC=C3Cl)=O)[C@H]2CC4=CC=C(O)C(O)=C4)C(OC5=CC=CC=C5)=O)=C1,0.3512305858137009,0.1556338322555497,9.665359,3.5906081,0.7126520872180219,0.9352279178949894,0.1449796854066995,0.1753445028806764,0.576428624294231,0.3036577613333945
33,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01444,COC(=O)C1=CC(Cl)=C(CN2CCC(O)(CN3C=NC4=C(N(C)N=C4C3=O)C3=CC=C(CN)C=C3)CC2)C=C1,ClC1=C(CN2CCC(O)(CC2)CN3C=NC4=C(C5=CC=C(F)C=C5)N(C)N=C4C3=O)C=CC(C6=CC=CO6)=C1,0.3361035071982196,0.3259354118133992,5.6678,0.25213313,0.2313468234899653,0.1485860514100291,0.2402908177901827,0.0830587559262129,0.15358364123268947,0.2896287505305564
34,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c00372,COC1=C(OC)C(OC)=CC(C2=CN=C3C(C=CN3)=C2)=C1,CC1=NN(C)C(C)=C1C2=C(F)C(C3=C(NC=N4)C4=NC=C3)=CC(NS(CC)(=O)=O)=C2,0.7986470794671359,0.5057596099627065,-2.5962214,-15.076775,0.4009476507344985,0.0457839816328078,0.046515316393993,0.2658401836962285,0.32818585658935956,0.31829864878781156
35,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01832?articleRef=test,CC(C)C1=C2N=C(NC[C@@H]3[C@@H](O)CNCC3)C=C(NCC4=CC=CC=C4)N2N=C1,CC(C)C1=C2N=C3N=C(NCC4=CC=CC=C4OC[C@@H](O)CCCC5(CCNCC5)CN3)N2N=C1,0.4930250349810918,0.4195724034960116,-2.200761,1.2368287,0.0153566039070474,0.1699561187731236,0.0466167723035348,0.0408422794690498,0.12456146494121774,0.13125739383904395
36,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c02304?articleRef=test,FC(F)(F)C1=CC=CC=C1C2=NOC(C3CC3)=C2COCC4(F)CC5CCC(N5C6=NC7=C(C=C(C(O)=O)C=C7F)S6)C4,O=C(O)C1=CN(CC)C2=C1C=CC(N3CCC4(CC(COCC5=C(C6CC6)ON=C5C7=CC=CC=C7OC(F)(F)F)C4)CC3)=C2,0.2019419816782733,0.1914556043489506,8.273338,2.4388309,0.5712431361700206,0.4526048652485044,0.6971729266015098,0.4617161861317853,0.10590722359541734,0.19650890901974377
37,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c02093?articleRef=test,CC1=C(CCCCC)C=C(N1)/C=C2C(OC)=CC(C3=CC=CN3)=N/2,CC1=C(CCCCC)C=C(N1)/C=C(C(OC2=CC=CC=C2)=C3)\N=C3C4=CC=CN4,0.7092947055344944,0.4462852444311097,3.7317634,5.8195486,0.006796008858391,0.1714162319124108,0.0122223959851155,0.0148833486240402,0.09082208843429064,0.09274490286392892
38,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01273?articleRef=test,CC1=NC(C2=NC3=CC=CC=C3C(NC4=CC=NC=C4)=N2)=CC=C1,CC1=NC(C2=NC3=C(C=CN3C)C(NC4=CC=NC=C4)=N2)=CC=C1,0.615642751097016,0.6265056797376146,-12.791274,-13.706505,0.0054839984479669,0.001601216803676,0.0102151218592058,0.0147034849357583,0.12177782449676695,0.17427992725382602
39,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c00932?articleRef=test,ClC1=CC=C2C(SC(N3CCC(CCOC4=CC(CC(O)=O)=CC=C4Cl)CC3)=N2)=C1,ClC(C=CC(CC(O)=O)=C1)=C1OCCC(CC2)(N3CCCC3)CCN2C4=NC5=CC=C(C(F)(F)F)N=C5S4,0.4697528678238802,0.3626289838565193,-5.254156,8.000501,0.0173471096465674,0.151961492262392,0.0720901482148012,0.1803153975739539,0.17382852343742292,0.14799345008452008
